date,cust_email,cust_location,product_id,product_quantity
2020-01-01,rau@yahoo.com,29947,RPNT781O56LN,1
2020-01-01,rau@yahoo.com,29947,SZC1ET67RT1Q,1
2020-01-01,spoeft@live.com,34506,51BK63YSS9N8,1
2020-01-01,trest@live.com,65920,G7WHBNXYNZAZ,4
2020-01-01,goift@hotmail.com,00736,7WOEQDFMB7X7,1
2020-01-01,jue@yahoo.com,88643,XW2VE835NILC,1
2020-01-02,ry@yahoo.com,89314,4RZY7AF56EI9,1
2020-01-02,ry@yahoo.com,89314,YC99DDZSL9WE,3
2020-01-02,ry@yahoo.com,89314,2FTRZ6U533GF,1
2020-01-02,snuing@gmail.com,32173,CUOVLH52KMSC,3
2020-01-02,pryz@hotmail.com,64030,WY33W6J3DTRK,2
2020-01-02,pryz@hotmail.com,64030,U43A3GW8G36R,4
2020-01-02,no@inbox.com,81848,7KLNXO60Y0K4,1
2020-01-02,no@inbox.com,81848,WWPN9AGGBL5E,1
2020-01-02,chiand@gmail.com,01850,6GHWFN8KYTEA,1
2020-01-02,spoass@msn.com,48683,0VDJ2I6URVZT,1
2020-01-02,spoass@msn.com,48683,XX5PE2TYU47P,3
2020-01-02,diach@gmail.com,63583,6BYQSWIHWL9A,3
2020-01-03,smoo@yahoo.com,19394,FEQ53L74XN9P,4
2020-01-03,smoo@yahoo.com,19394,1QAQNY40U0VD,3
2020-01-03,smoo@yahoo.com,19394,R8TVP5Z2B2QO,1
2020-01-03,pli@icloud.com,07282,HFU3929IG1V6,3
2020-01-03,swoup@gmail.com,27491,D8YN2G94R17Z,2
2020-01-03,nu@aol.com,96585,HRUMWAICVFZ8,1
2020-01-03,gy@gmail.com,64395,OM2GX4V5GU91,1
2020-01-03,noa@inbox.com,71834,U29Y8Z9B9GF2,1
2020-01-03,noa@inbox.com,71834,CU3JU8A46ZZC,4
2020-01-03,noa@inbox.com,71834,TQISXEK7N6AB,1
2020-01-03,jar@gmail.com,43016,ZHONF0BOF6U3,1
2020-01-04,byz@aol.com,01850,78UTBRG64GLC,1
2020-01-04,byz@aol.com,01850,DESK52X1H2HO,1
2020-01-04,byz@aol.com,01850,FBUPIDI67913,1
2020-01-04,byz@aol.com,01850,1G6TKWSAKPPA,1
2020-01-04,byz@aol.com,01850,6MXABQ1NO7OP,3
2020-01-04,byz@aol.com,01850,K3OFE11CM598,1
2020-01-04,stea@yahoo.com,11588,C5XJSETLTV1L,1
2020-01-04,leoz@outlook.com,50890,K2S3INBG2UWO,2
2020-01-04,sliupt@yahoo.com,93702,TTXTUAHENXVM,1
2020-01-05,trump@msn.com,26983,SJBLQ96LCDWX,1
2020-01-05,sti@outlook.com,51977,IJL39RL2U7Q9,1
2020-01-05,snauw@hotmail.com,52432,BFZ2V6APJ3S6,1
2020-01-05,slaa@gmail.com,36232,Q7ARZTFVHSBB,1
2020-01-05,snaom@hotmail.com,33677,NRLVMFHVDDG0,1
2020-01-05,snaom@hotmail.com,33677,DG1X9U3D5FX3,1
2020-01-05,snaom@hotmail.com,33677,D2TBXA75GSOM,1
2020-01-05,snaom@hotmail.com,33677,0LEIVSJFIROL,2
2020-01-05,hu@gmail.com,32173,8T99AA3LHOQ3,1
2020-01-06,me@hotmail.com,13622,XSOUQV1UYAU3,2
2020-01-06,me@hotmail.com,13622,GRYGW3G66W8H,1
2020-01-06,tie@gmail.com,41318,DKJJE8TY5F8X,3
2020-01-06,slyb@gmail.com,70309,QDADACTJR3Y2,2
2020-01-06,yusk@inbox.com,23883,OSWVSCSQR0HH,5
2020-01-06,sou@gmail.com,02010,V6E5L25LYQ5J,1
2020-01-06,plyl@aol.com,76754,4MUD83QUWM2S,1
2020-01-07,reil@yahoo.com,16632,I09PQK5B6WTK,2
2020-01-07,cheo@live.com,75524,7MATW0ZQIOUH,1
2020-01-07,cheo@live.com,75524,BPNK2HTY3KBZ,1
2020-01-07,honk@yahoo.com,70667,5STM2MG6VZZG,3
2020-01-07,myf@gmail.com,13272,SQOUAWTNIP45,4
2020-01-07,ruz@aol.com,83522,IIBOXMJ5U62N,2
2020-01-07,ruz@aol.com,83522,9VPTXJBMPN2A,3
2020-01-07,blia@gmail.com,74904,IFHWBFN798TR,3
2020-01-07,blia@gmail.com,74904,HG90IKTN99DY,4
2020-01-07,blia@gmail.com,74904,UPN0HMTBWA8L,1
2020-01-07,baum@live.com,22849,55CDQLGEIQQ2,1
2020-01-08,plie@hotmail.com,14486,NFA04MZNSCR4,1
2020-01-08,shiuk@msn.com,21837,UNRHF8Z750CU,2
2020-01-08,duen@gmail.com,53555,947N0LYGB5JN,2
2020-01-08,swau@gmail.com,52222,1WNYRPYEMNN6,1
2020-01-08,swau@gmail.com,52222,YIF5LEAFW6E3,1
2020-01-08,bly@msn.com,71692,DGUUAAYHRR4P,1
2020-01-09,fie@gmail.com,39577,48BDNWVMERFI,1
2020-01-09,nou@gmail.com,85372,0YM7FS2F9TQA,1
2020-01-09,nou@gmail.com,85372,OYO12M5GJLZB,1
2020-01-09,nou@gmail.com,85372,DFG589Z13F9D,2
2020-01-09,weiy@yahoo.com,89896,FH30BWQC1NAZ,2
2020-01-09,fir@gmail.com,75524,AFMS8MWFIB01,1
2020-01-09,fir@gmail.com,75524,WWNBBG5FF18A,3
2020-01-09,fir@gmail.com,75524,LACZ18X7WG3V,2
2020-01-10,troo@icloud.com,07460,215AMO74FROE,5
2020-01-10,spuish@gmail.com,29707,7QESLUR2T4A0,2
2020-01-10,spuish@gmail.com,29707,UVC7U20JQALI,2
2020-01-10,pliund@gmail.com,76754,HEJIJ6JVI0CJ,2
2020-01-10,draiss@hotmail.com,07799,3Q80HP9CUBJ4,1
2020-01-10,draiss@hotmail.com,07799,4E7YWGF11YOX,1
2020-01-10,bient@aol.com,01960,9W3W98B1HGZU,4
2020-01-11,proi@yahoo.com,46092,BPVTA9IQXUTJ,2
2020-01-11,groo@inbox.com,70527,50NBFAC4UK0B,3
2020-01-11,flon@gmail.com,78421,WI4H9MTTI0VE,3
2020-01-12,flaiz@aol.com,38743,NRC3BG3TCZSP,1
2020-01-12,flaiz@aol.com,38743,BPW9VQGN2KD1,1
2020-01-12,dass@hotmail.com,97086,QI9BE72OF9JJ,1
2020-01-12,leoct@live.com,15636,PFPG9B81COAY,3
2020-01-12,chia@aol.com,73293,ROWO9DGPWEP4,1
2020-01-12,chia@aol.com,73293,IOJI8LK39OPG,1
2020-01-12,bry@outlook.com,94690,TKMW561VMS7L,1
2020-01-12,yount@hotmail.com,25439,MH3CMZBYMWNV,2
2020-01-13,chy@mail.com,21949,TAMOWOFBVFVA,2
2020-01-13,nank@gmail.com,29947,TK3B9K54PCPV,2
2020-01-13,zee@gmail.com,07977,3E5UGE124YT0,5
2020-01-13,zee@gmail.com,07977,OYAAHFWKE9EZ,4
2020-01-14,yeg@msn.com,80088,DOBB9TU4BBVN,1
2020-01-14,sko@aol.com,46200,9I3WGFJ5EUW1,1
2020-01-15,paor@gmail.com,11428,WMCT6MC15GYH,2
2020-01-15,paor@gmail.com,11428,1H13ATB5ZXTB,2
2020-01-15,paor@gmail.com,11428,0ZMTD8UUV9E0,2
2020-01-15,pliomp@hotmail.com,08905,2NPD2M5GZOIY,1
2020-01-15,li@gmail.com,23883,OY3D2SJW7MJ8,3
2020-01-15,li@gmail.com,23883,KDF8BLAEZF5B,3
2020-01-15,brash@gmail.com,18536,A3KOJA3E6J2R,1
2020-01-15,na@live.com,89740,26XI95OSM2Y1,2
2020-01-15,na@live.com,89740,B11DTO1YC5C1,1
2020-01-15,da@hotmail.com,67650,12W208XRA5TP,1
2020-01-15,fluemp@inbox.com,45256,12R84BYICK3S,1
2020-01-15,fluemp@inbox.com,45256,8DEPLRUL4US1,1
2020-01-15,fluemp@inbox.com,45256,KDYVMUGESQZ1,4
2020-01-15,fluemp@inbox.com,45256,LB8FNG2DDODI,1
2020-01-15,fluemp@inbox.com,45256,2SKGRWCC5BN8,3
2020-01-16,ve@icloud.com,45437,GK1ZJ3UAL3V1,1
2020-01-16,ve@icloud.com,45437,0Z4Z2WABD4LO,1
2020-01-16,slat@aol.com,68591,Y58MRZRYNAIB,1
2020-01-16,toe@inbox.com,69434,ZO2MI2D6JJRN,3
2020-01-16,swi@icloud.com,14486,CLDS8570U240,1
2020-01-16,croept@hotmail.com,42904,JDCQSWRESIXM,1
2020-01-16,sleact@yahoo.com,55978,0MS4VJL2C5NZ,1
2020-01-17,jaisp@msn.com,51035,N8XYJC8IYZNI,1
2020-01-17,vip@outlook.com,11428,DETRQ3J83T80,3
2020-01-17,vip@outlook.com,11428,IY77JLCGOBU8,1
2020-01-17,giusk@outlook.com,98353,M3LIANVRO3E0,1
2020-01-17,giusk@outlook.com,98353,BJ446JAZZBPJ,1
2020-01-17,giusk@outlook.com,98353,R2ID7WTDXI3X,3
2020-01-17,flio@hotmail.com,84862,8LPW3GBA1KZZ,1
2020-01-18,jueng@live.com,84862,6RRO27A7HBGT,2
2020-01-18,plui@inbox.com,53555,VQUQVKPFWOEQ,2
2020-01-18,grept@outlook.com,14496,CRQOV9PEDPPD,1
2020-01-18,grept@outlook.com,14496,LWQIAZ9MWWOH,1
2020-01-18,fui@inbox.com,11439,CEYP22JW3WA6,2
2020-01-18,voect@icloud.com,33774,GYNN3U5GI1AV,1
2020-01-18,strea@gmail.com,43889,CI24UQYWIGHE,1
2020-01-18,strea@gmail.com,43889,JYRMHOLAWQ6D,2
2020-01-18,strea@gmail.com,43889,PMB56OHJ0DQ5,2
2020-01-18,cli@inbox.com,68684,UPYW567UVQ3T,4
2020-01-18,cli@inbox.com,68684,1KFYLCZBTB5R,4
2020-01-18,cli@inbox.com,68684,T7JCGQU1UCXU,1
2020-01-19,smysh@yahoo.com,72792,TL3CGZJFH7NI,2
2020-01-19,smysh@yahoo.com,72792,ODQMAIUM3ZWK,1
2020-01-19,smysh@yahoo.com,72792,Y8O3WCZ98B1A,1
2020-01-19,hai@live.com,96576,3H03Z89QYUXX,1
2020-01-19,hai@live.com,96576,WCY7ERJFXI79,2
2020-01-19,fa@mail.com,45256,0205CPR1OCVZ,1
2020-01-20,spect@live.com,93613,3M2L4EYL3P5H,2
2020-01-20,cro@gmail.com,27945,C7F3WD10GPPH,4
2020-01-21,hao@gmail.com,62477,YWQ00WSLEEVA,1
2020-01-21,smui@outlook.com,85695,MG1AOUIFESY3,1
2020-01-21,smui@outlook.com,85695,1I1IAL7KJP7A,1
2020-01-21,smui@outlook.com,85695,F13H5VHPH693,4
2020-01-21,smui@outlook.com,85695,UMFES41CLICV,2
2020-01-21,smui@outlook.com,85695,3FX4QVCW5R4H,2
2020-01-21,shy@gmail.com,15237,OD7T5TIOR1YJ,3
2020-01-21,spa@hotmail.com,36462,H908ORCGTMAV,3
2020-01-21,spa@hotmail.com,36462,9JXQNIGKZSJ0,2
2020-01-21,spa@hotmail.com,36462,T6BD8I7EAGJ1,1
2020-01-21,prich@yahoo.com,22508,Q1FI99LD5BTL,2
2020-01-22,breu@gmail.com,24553,QUPFONC9HR4N,1
2020-01-22,he@msn.com,85694,A8I3AMNF3JDM,6
2020-01-22,he@msn.com,85694,URK8Y8XMYY8J,1
2020-01-22,he@msn.com,85694,5D49DZKWDNWL,1
2020-01-22,he@msn.com,85694,PC3KLWHDJ3K1,1
2020-01-22,mea@hotmail.com,08790,UA5IYDLBQA4C,1
2020-01-22,prieb@hotmail.com,97554,49TMW699EZG7,2
2020-01-22,skaen@hotmail.com,92788,HJ8WBS19UBMM,1
2020-01-22,suesk@yahoo.com,37476,I9MZAB61FGR2,2
2020-01-22,suesk@yahoo.com,37476,HVXWEDMOS6RD,1
2020-01-22,cra@yahoo.com,69587,6E2QH9NKN1RJ,4
2020-01-22,ploesp@hotmail.com,41222,9OKYVF0514ON,2
2020-01-23,ma@hotmail.com,49966,S7H8Y3E83OZQ,1
2020-01-23,ma@hotmail.com,49966,Y1P8ZY7D2ENH,3
2020-01-23,ma@hotmail.com,49966,RNWRNDY9LEKZ,1
2020-01-23,ma@hotmail.com,49966,7C57KPH1IFET,3
2020-01-23,jim@gmail.com,49800,2X0IMB3Y92PT,1
2020-01-23,jim@gmail.com,49800,UQ1TE3Z9P340,2
2020-01-23,jim@gmail.com,49800,MI6WL9GJO4MK,3
2020-01-23,plimp@gmail.com,45256,H5438PDM0EBV,1
